north,east,n_width,e_width,height
7417.401711583314,2703.2235210275576,20.570648449418513,27.869558264592797,65.1426570144
-2871.9606119151363,-966.9028469711845,25.185261269071816,37.546103833406164,58.67095200000001
-1384.4395204126672,572.7181537252591,28.41624699712156,33.91829512220738,66.816569940888
-647.0730433173497,-1671.8475223751607,13.472381126706523,11.19108796851333,20.900136
-5939.145726166999,-1868.8980560113469,21.299986416635875,31.003708719981887,34.177224
3438.8653399667146,2927.8822002048464,12.865935945308138,12.434675390443772,14.365233814560002
-3365.461850699613,-844.7780518969762,9.527848975328652,9.890090014560428,20.66544
3298.3595424606187,837.5779178742373,27.767525381613268,20.862430273957102,42.212789005800005
65.85714255691865,1296.2743625795242,18.16237417820969,13.462143314372724,27.163776000000002
2898.253119300617,3084.8305850397,12.209087177316633,15.19048021624485,16.970903433792
2095.605884748566,2496.9225481790536,17.90896603380861,14.481216677384964,16.980408
1714.728880153853,-52.63373246079871,29.217326031981656,26.713802345986153,75.63612
-3471.527433636503,-2612.4374728757102,37.739667725045365,34.235072060457696,29.00207439096
240.03927196605548,1231.056230216273,28.595448529306935,22.40801367527274,35.637216
8064.520097467253,2962.786477850108,38.269195265034796,36.54943718642244,81.881472
9556.408165054558,3269.4530956532353,38.638655828301125,37.66174276020638,28.462224
7626.342744873474,2818.6198256619605,19.363506312163736,26.05970177727886,62.379001682184004
3381.9289740903473,1516.0557137129063,28.399259803964924,26.089685481890456,31.888176
-5237.577182148014,-662.6281617676173,20.903822919129198,28.676026609510245,18.988993088232
-1649.302612788908,-1834.588726117923,37.663768981042494,34.71486608082023,66.864061344
-1206.8876290947105,-1879.86410456465,16.374157314615786,12.72843289079924,24.390096000000003
217.53563439994417,448.5636747625953,41.16017304129855,31.913833580249616,48.579024000000004
-4407.025681056552,-2099.895137653346,15.162410927106976,13.493598874957115,15.884939886648
-3332.936697234669,-2314.928557109194,32.91440892064975,29.58604248366146,28.611576000000003
-3515.7672778020924,-2450.6902686370563,16.018215491880255,13.40905060946443,21.970173771528003
2480.0869008575974,-451.1094537033227,34.786919083651355,41.965923761749764,59.155584
7820.751267246027,2827.4613804282462,19.29599490495366,26.35941901149954,74.187798148872
3484.6315667331837,1080.5964488446607,15.801903289339407,12.0041718429693,23.451312
523.7815244762648,2179.558454935567,17.941785248279643,13.343219838781806,22.308312
-385.24358017473617,-2095.460274333581,60.93258306274811,40.15295501150695,21.674328
-5677.646860560136,-1737.4467072587831,31.03925258097479,18.338004776348498,29.035248
-337.0975949439121,1439.8056896583612,26.289640543648204,19.25334053849315,26.77668
-2713.048745672754,-2977.501900887625,46.29405188119563,53.20430351887717,27.514296
2508.8722822561112,2516.7350767801627,28.693055094912324,21.035562498124364,25.310592000000003
391.32985366711216,1481.7443015188592,26.777064634849694,19.4287355813276,38.22203260836
2052.0478614758513,2356.587791711052,15.540256923352445,19.400423851075175,17.428464
4863.2141684032895,2446.027518952729,27.959222148585468,21.387687867304066,26.386536
-3831.871032385621,-1974.2931272034702,43.92204354396927,56.78140329832513,67.275456
-4692.495950668068,-1916.663360832266,26.01530534962876,34.1094217161949,46.765464
4473.419044925331,1698.3721382009196,18.70020436764753,26.21519767318796,25.871424
556.2006377962291,1677.2355088795366,18.605687555914415,13.84426103234182,31.510224
4869.596658690462,2226.614902370082,13.840384702611118,18.856289930247385,26.813256000000003
6304.566530324849,1990.5541084195524,15.829005112116647,11.910091546927106,50.426112
4161.361777049334,1275.017081121891,20.60083835045043,28.011847641086433,28.020264000000005
1231.0918204339612,-485.2685957070128,41.028772602652225,43.33050057548792,78.40065600000001
-2867.2503252262923,-2913.4025399387847,28.240765137715243,25.583692319347847,7.775448000000001
481.8233366559773,1014.0145662497442,8.430487567766932,12.478021263105575,66.306192
3429.3808771346435,556.6119492962281,18.931507477270316,26.813635858630278,50.32248
-6295.846454267947,-1661.3150750930577,13.097905252411692,9.245126101014876,26.023824
446.11477514328453,1729.5849462168871,17.422995824793986,22.876889971750415,33.9852
-1516.4146493332717,378.79079634751986,14.633142658177803,19.939046411984634,26.572464000000004
4357.599072393754,1703.8780398550216,44.62910621884021,45.08610444121291,33.125664
-435.79944895953656,-1026.8920971896998,40.43789225845052,40.815309104062635,210.0072
-1014.4164203758082,-2472.515718370426,28.26794934063207,22.37339358211284,9.4488
493.0117420326855,960.7845861061421,22.02767836039459,15.864468434682749,37.368087115848006
3267.7613409971495,2803.5282704614506,13.73473181843383,13.028880003533232,20.29942413564
-1673.5624289505645,232.87837697826114,16.210973958927752,21.782905074408518,23.478744000000003
